release_date,title,main_director,soup
2008-07-29,War Games: The Dead Code,stuartgillard,bomb washingtond.c. comput sequel deathoffath nuclearthreat referencetofacebook warcraft defcon mattlanter amandawalsh garyreineke stuartgillard sciencefiction drama thriller
1985-02-15,The Breakfast Club,johnhughes,highschool tardyhal teenag detent emilioestevez anthonymichaelhall juddnelson johnhughes comedy drama
2006-08-31,Crank,briantaylor,poison helicopt assassin nuditi hitman adrenalin fistfight swimmingpool reveng shootout motorcycl drug cellphon carchas thoughguy pharmaci defibril hospitalgown emergencyroom aftercreditssting sweatshop run epinephrin jasonstatham amysmart josepablocantillo briantaylor action thriller crime
1990-10-17,Quigley Down Under,simonwincer,australian chase tomselleck laurasangiacomo alanrickman simonwincer romance action adventure western drama
1996-04-05,Fargo,joelcoen,cheat ransom salesclerk winter kidnap auto unsoci polic northdakota murder money cardealership woodchipp williamh.macy francesmcdormand stevebuscemi joelcoen crime drama thriller
2005-12-16,Lassie,charlessturridge,ritual trainrid rescu littlegirl colliedog lassi petero'toole samanthamorton johnlynch charlessturridge adventure drama family
2013-07-25,Blue Jasmine,woodyallen,sanfrancisco sistersisterrelationship newyorkc rich narciss xanax cateblanchett alecbaldwin sallyhawkins woodyallen comedy drama
2015-11-12,By the Sea,angelinajolie,franc hotel 1970 grief travel unhappi marriageproblem womandirector angelinajolie bradpitt mélanielaurent angelinajolie drama romance
2006-09-08,Babel,alejandrogonzáleziñárritu,terror lossofmoth gun morocco deaf-mut sandiego ecstasi illegalimmigr firsttim nanni daughter bulletwound ensemblecast bradpitt cateblanchett gaelgarcíabernal alejandrogonzáleziñárritu drama
2015-07-31,Descendants,kennyortega,fairytal villain teenmovi teenag booboostewart dovecameron keeganconnortracy kennyortega adventure action comedy family
2006-02-10,Curious George,matthewo'callaghan,museum productplac balloon jungl monkey famili predict cargoship curios willferrell drewbarrymore davidcross matthewo'callaghan adventure animation comedy family
2003-10-07,Mystic River,clinteastwood,childabus sexualabus lossofchild repay suppressedpast arbitrarylaw boston workers'quart referencetosprit child seanpenn timrobbins kevinbacon clinteastwood thriller crime drama mystery
2016-08-12,Call of Heroes,bennychan, lauching-wan louiskoo eddiepeng bennychan adventure action
1989-10-05,The Punisher,markgoldblatt,"lossoffamili vigilant marvelcom basedoncom reveng mafia policeoffic goodandbad dolphlundgren louisgossett,jr. jeroenkrabbé markgoldblatt action thriller"
1986-11-25,Star Trek IV: The Voyage Home,leonardnimoy,savingtheworld sanfrancisco ussenterprise-a timetravel whale marinebiologist vulcan spaceopera williamshatner leonardnimoy deforestkelley leonardnimoy sciencefiction adventure
2010-10-13,RED,robertschwentke,cia retir shottodeath sniperrifl retir femalespi alarm brucewillis johnmalkovich helenmirren robertschwentke action adventure comedy crime thriller
1999-11-12,Anywhere But Here,waynewang,dream susansarandon natalieportman hartbochner waynewang drama comedy romance
2017-01-02,Extortion,philvolken,kidnap bahama extort familyvac bethanyjoylenz dannyglover timgriffin philvolken action adventure crime drama thriller
2015-05-08,Infini,shaneabbess,mindcontrol rescu search plagu miningaccid ftltravel danielmacpherson gracehuang lukehemsworth shaneabbess horror sciencefiction thriller
2004-06-24,Agent Cody Banks 2: Destination London,kevinallen,londonengland cia teenagehero teenspi ciaagent frankiemuniz anthonyanderson hannahspearritt kevinallen comedy
2000-06-28,Baise-moi,virginiedespentes,franc rape women'ssexualident reveng murder independentfilm unsimulatedsex crime violenc explicitsex womandirector newfrenchextrem karenlancaume raffaëlaanderson ouassiniembarek virginiedespentes crime drama romance thriller
2006-06-16,The Lake House,alejandroagresti,chicago write architect futur time architectur mysteriouslett nearfutur firstkiss romanticdrama passageoftim keanureeves sandrabullock shohrehaghdashloo alejandroagresti romance drama mystery
2014-12-18,PK,rajkumarhirani,societi friendship love alien religion sociolog beliefingod aamirkhan anushkasharma sushantsinghrajput rajkumarhirani comedy drama sciencefiction
1992-10-09,A River Runs Through It,robertredford,individu brotherbrotherrelationship gambl montana journalist prohibit fish flyfish pastor bradpitt craigsheffer tomskerritt robertredford drama
2015-11-20,Criminal Activities,jackieearlehaley,mobster moneyproblem borrow troubl classmat invest bűnösutakon danstevens johntravolta michaelpitt jackieearlehaley thriller crime drama
2008-05-21,Indiana Jones and the Kingdom of the Crystal Skull,stevenspielberg,savingtheworld riddl whip treasur mexicoc leatherjacket machinegun alienphenomenon mayacivil peru treasurehunt nuclearexplos refriger archaeologist indianajon archeology  harrisonford cateblanchett shialabeouf stevenspielberg adventure action
2013-01-18,"Batman: The Dark Knight Returns, Part 2",jayoliva,dccomic futur joker robin basedongraphicnovel dystopicfutur superpow peterweller arielwinter davidselby jayoliva action animation
2016-05-25,Warcraft,duncanjones,videogam elv orc magic chase basedoncom sorcer fictionalwar basedonvideogam wizard fictionallanguag muscl orc swordandsorceri paulapatton travisfimmel benfoster duncanjones action adventure fantasy
2003-12-25,Paycheck,johnwoo,propheci engin scientist millionair benaffleck aaroneckhart umathurman johnwoo action adventure mystery sciencefiction thriller
2009-10-09,Good Hair,jeffstilson, mayaangelou chrisrock nialong jeffstilson comedy documentary
2016-08-12,Hell or High Water,davidmackenzie,desper texa bankrobb brother shoot carsetonfir gunbattl policeofficerkil crimin heldatgunpoint policecar smallwesterntown sayinggoodby bulletholeinwindscreen jeffbridges chrispine benfoster davidmackenzie crime drama thriller western
1991-04-17,Delicatessen,jean-pierrejeunet,suicideattempt underground plannedmurd clown butcher butcher'sshop post-apocalypt vegetarian terrorcel dystopia dominiquepinon marie-lauredougnac jean-claudedreyfus jean-pierrejeunet comedy sciencefiction fantasy
2009-08-07,Cold Souls,sophiebarthes,soulsel womandirector paulgiamatti emilywatson dinakorzun sophiebarthes comedy drama fantasy sciencefiction
2017-04-21,Phoenix Forgotten,justinbarber,foundfootag florencehartigan jeaninejackson chelsealopez justinbarber horror mystery sciencefiction
2012-06-13,Rock of Ages,adamshankman,music rocker teenag younglov rocksta juliannehough diegoboneta tomcruise adamshankman comedy drama music romance
2008-02-08,"Definitely, Maybe",adambrooks,lovesick loveofone'slif narrat lover kiss daughter affect relat makeamatch sexeduc relationship divorc fatherdaughterrelationship pastrelationship ryanreynolds abigailbreslin elizabethbanks adambrooks comedy romance
2004-09-03,Paparazzi,paulabascal,independentfilm colehauser robintunney dennisfarina paulabascal action drama thriller
1956-06-01,The Man Who Knew Too Much,alfredhitchcock,londonengland assassin scotlandyard bu morocco paranoia british suspens american physician frenchman intercultur cymbal jamesstewart dorisday brendadebanzie alfredhitchcock adventure crime drama mystery thriller
2014-10-11,Escobar: Paradise Lost,andreadistefano,surfer murder murder columbia telephoneconvers beniciodeltoro joshhutcherson bradycorbet andreadistefano thriller romance
1966-08-24,Fantastic Voyage,richardfleischer,submarin coma claustrophobia wound laser doubleag humanbodi shrink radioact miniatur doctor scientist sabotag secur militari hypodermicneedl brainsurgeri turbul scubadiv bloodclotinbrain microscop stephenboyd raquelwelch edmondo'brien richardfleischer adventure sciencefiction
1963-10-11,From Russia with Love,terenceyoung,venic londonengland terror england assassin spi assassin istanbul russia secretmiss secretorgan secretintelligenceservic kgb orientexpress zagreb gondola phantom villain duringcreditssting seanconnery danielabianchi pedroarmendáriz terenceyoung action thriller adventure
2010-08-06,The Other Guys,adammckay,narrat ceo firetruck shotintheshould ziplin buddycomedi carjack aftercreditssting duringcreditssting willferrell markwahlberg evamendes adammckay action comedy crime
1963-04-04,Bye Bye Birdie,georgesidney,smalltown ohio music song singer secretari rockandrollstar janetleigh dickvandyke ann-margret georgesidney drama comedy music
2010-07-13,The Sorcerer's Apprentice,jonturteltaub,witch fire wolf fountain magic book castl water apprentic train merlin love mission sorcer dragon aftercreditssting apprendista morgana nicolascage jaybaruchel monicabellucci jonturteltaub fantasy adventure action comedy drama
2010-08-26,Hatchet II,adamgreen,ax swamp killer danielleharris kanehodder parryshen adamgreen horror comedy thriller
1998-12-25,Patch Adams,tomshadyac,nurs hospit doctor laughter robinwilliams philipseymourhoffman bobgunton tomshadyac comedy drama
2016-09-01,Morgan,lukescott,futur thriller robot fiction katemara anyataylor-joy roseleslie lukescott horror sciencefiction thriller
2001-11-01,Shallow Hal,bobbyfarrelly,overweight beauti hypnosi overweightman overweightwoman oberflächlichkeit kompliment obes fatsuit beautystandard fatman fatwoman attract gwynethpaltrow jackblack jasonalexander bobbyfarrelly comedy romance
2008-09-12,Eden Lake,jameswatkins,beach wifehusbandrelationship lake camp rottweil sadism forest reveng surviv fear violenc coupl gangviol teenagekil kellyreilly michaelfassbender taraellis jameswatkins horror thriller
2017-02-17,In Dubious Battle,jamesfranco,california basedonnovel strike 1930 migratorywork jamesfranco natwolff selenagomez jamesfranco drama
1991-07-26,Mobsters,michaelkarbelnikoff,historicalfigur mafiaboss mobster christianslater costasmandylor richardgrieco michaelkarbelnikoff drama action thriller crime
2010-09-13,The Whistleblower,larysakondracki,sarajevo biographi conspiraci teenageprostitut sextraffick femalecop insideman unitedn womandirector rachelweisz vanessaredgrave monicabellucci larysakondracki drama thriller crime
1955-12-08,The Ladykillers,alexandermackendrick,robberi parrot gangofthiev widow gramophon crime crimin bankrobberi oldladi plan octogenarian quintet alecguinness cecilparker herbertlom alexandermackendrick comedy crime
1994-07-01,Baby's Day Out,patrickreadjohnson,babi hoodlum lostchild joemantegna laraflynnboyle joepantoliano patrickreadjohnson action adventure comedy family
2012-10-09,The Broken Circle Breakdown,felixvangroeningen, veerlebaetens johanheldenbergh nellcattrysse felixvangroeningen drama
2009-01-16,Brooklyn's Finest,antoinefuqua,malenud femalenud tattoo gambl corrupt fathersonrelationship prostitut robberi detect policebrut wifehusbandrelationship cardgam desper undercov kidnap drugdeal retir deathofafriend asthma polic fellatio bloodsplatt reveng decept murder betray priest breast bagofmoney shootout bloodonshirt shotintheback undercovercop blood suicid fword shottodeath punchedinthefac redempt policeofficerkil hospit dirtycop policecorrupt pistol newyorkc church violenc strangul footchas policedetect fatherdaughterrelationship policest heldatgunpoint cathol guilt brooklynnewyorkc narcoticscop nypd missingperson racialslur swatteam ensemblecast pregnantwif confession drivebyshoot shotintheshould guninmouth policeraid referencetogod razorblad shotthroughadoor stealingmoney policeofficershot expectingtwin lensflar flashback moneyproblem familyman neo-noir bmw apathi confessionbooth thoughtsofretir hailmari workinginthenud drugraid ironingmoney bedtimepray brief shotpointblank referencetogregoryhin policebadg sexslav trailofblood goldwatch manslapsawoman mold richardgere doncheadle ethanhawke antoinefuqua crime drama thriller
2015-06-12,Me and Earl and the Dying Girl,alfonsogomez-rejon,tattoo highschool leukemia friend parodi cancer comingofag teenag teenageboy highschoolstud basedonyoungadultnovel thomasmann rjcyler oliviacooke alfonsogomez-rejon comedy drama
1990-12-19,Hamlet,francozeffirelli,lossoffath princ uncl reveng murder spirit melgibson glennclose alanbates francozeffirelli drama history
2013-10-23,Ender's Game,gavinhood,basedonnovel intoler chosenon childprodigi futurist space sciencefict alieninvas militaryschool moralitytal basedonyoungadultnovel asabutterfield harrisonford haileesteinfeld gavinhood sciencefiction action adventure
1969-06-11,True Grit,henryhathaway,bountyhunt manhunt johnwayne kimdarby jeremyslate henryhathaway western
2008-01-18,Transsiberian,bradanderson,china marriedcoupl backpack firearm polic travel snow blood cowardli train drug killer siberia moscow trans-siberianrailway woodyharrelson emilymortimer katemara bradanderson thriller crime mystery
2006-01-12,Underworld: Evolution,lenwiseman,budapest key vampir light werewolf evolut fangvamp katebeckinsale scottspeedman tonycurran lenwiseman fantasy action sciencefiction thriller
1964-10-21,My Fair Lady,georgecukor,music transform flowergirl colonel wager suitor classdiffer tutor aristocrat linguist street highsocieti misogynist guttersnip classprejudic oppositesattract audreyhepburn rexharrison stanleyholloway georgecukor drama family music romance
2006-10-09,The Librarian: Return to King Solomon's Mines,jonathanfrakes,incant treasurehunt treasuremap scientist archaeologist tvmovi noahwyle gabrielleanwar bobnewhart jonathanfrakes fantasy action adventure
2015-08-16,Macbeth,justinkurzel,scotland shakespear mediev michaelfassbender marioncotillard paddyconsidine justinkurzel history drama war
2012-09-12,Excision,richardbatesjr.,surgeon teenag domineeringmoth awkward socialoutcast lungtransplant  annalynnemccord tracilords arielwinter richardbatesjr. horror
2009-07-31,The Cove,louiepsihoyos,japan ocean dolphin nation suffer dyinganddeath whale expos fishingboat activist cove joechisholm mandy-raecruikshank charleshambleton louiepsihoyos documentary
2008-05-15,The Chronicles of Narnia: Prince Caspian,andrewadamson,basedonnovel fictionalplac brothersisterrelationship lion humanb wretch leapintim matteroflifeanddeath faith uncl narnia fantasyworld benbarnes williammoseley annapopplewell andrewadamson adventure family fantasy
2012-03-29,Sinister,scottderrickson,drown pennsylvania childmurder carsetonfir murder bagoverhead massacr poweroutag hangedman heldcapt hang death attic noopeningcredit super-8 ghostchild filmedkil crimenovelist ethanhawke julietrylance vincentd'onofrio scottderrickson horror thriller mystery
2003-10-15,The Miracle of Bern,sönkewortmann,budapest hungari bern sport soccer soccercoach louisklamroth peterlohmeyer johannagastdorf sönkewortmann drama comedy
2013-10-17,Big Ass Spider!,mikemendez,giantspid martiallaw losangel extermin creaturefeatur greggrunberg lombardoboyar clarekramer mikemendez sciencefiction
1998-10-01,A Night at the Roxbury,johnfortenberry,nightlif nightclub flower flowershop makeamatch club willferrell chriskattan jennifercoolidge johnfortenberry comedy
2006-12-07,Blood Diamond,edwardzwick,rebel journalist journal lossoffamili slaveri mercenari diamondmin sierraleon bootlegg fisherman specialunit smuggl genocideinrwanda oppress leonardodicaprio djimonhounsou jenniferconnelly edwardzwick drama thriller action
2012-02-01,Chronicle,joshtrank,seattl telekinesi friendship loneli outcast comingofag student teenag superpow foundfootag aftercreditssting abus bittersweet danedehaan alexrussell michaelb.jordan joshtrank sciencefiction drama thriller
2016-09-14,In Bed with Victoria,justinetriet,wed womandirector legaldisput twodaught blandperson virginieefira vincentlacoste melvilpoupaud justinetriet comedy drama romance
2014-08-11,The Giver,phillipnoyce,dystopia blackandwhit basedonyoungadultnovel jeffbridges merylstreep brentonthwaites phillipnoyce drama sciencefiction
2013-02-06,A Good Day to Die Hard,johnmoore,bomb cia russia escap courthous rogu moscow brucewillis jaicourtney sebastiankoch johnmoore action thriller
2011-10-25,Faces in the Crowd,julienmagnat,detect murder serialkil disord millajovovich sarahwaynecallies julianmcmahon julienmagnat thriller mystery crime drama
2009-02-08,Management,stephenbelber,motel long marriag pregnanc jenniferaniston stevezahn woodyharrelson stephenbelber comedy drama romance
1999-01-22,The Boondock Saints,troyduffy,arbitrarylaw boston twinbroth russianmafia prologu irish policest pager duringcreditssting willemdafoe normanreedus seanpatrickflanery troyduffy action thriller crime
2008-06-19,Wanted,timurbekmambetov,assassin lossoffath secretsocieti missionofmurd reveng angelinajolie jamesmcavoy morganfreeman timurbekmambetov action thriller crime
1999-06-18,Tarzan,kevinlima,gorilla babi adopt feralchild nest anim jungl camp orphan tonygoldwyn glennclose minniedriver kevinlima adventure animation drama family
2011-02-24,Pina,wimwenders,choreograph choreographi modernd reginaadvento malouairaudo ruthamarante wimwenders documentary
1996-09-13,Bound,lanawachowski,prison women'sprison suspens mafia lesbian gangster ex-con womandirector jennifertilly ginagershon joepantoliano lanawachowski crime drama romance thriller
2004-05-27,Raising Helen,garrymarshall,newyork pastor worldoffas lossofpar mannequin fashiondesign familyrelationship katehudson johncorbett joancusack garrymarshall drama comedy romance
2000-07-07,Scary Movie,keenenivorywayans,sex garag psychopath crudehumor drug carmenelectra davesheridan annafaris keenenivorywayans comedy
2015-10-16,Room,lennyabrahamson,basedonnovel carpet isol kidnap imprison grandpar escap hospit dog captiv mothersonrelationship shed skylight brielarson jacobtremblay joanallen lennyabrahamson drama thriller
2000-08-30,"O Brother, Where Art Thou?",joelcoen,propheci southernusa musicrecord countrymus mississippi seduct music fraud georgeclooney johnturturro timblakenelson joelcoen action adventure comedy
2006-07-15,The Girl Who Leapt Through Time,mamoruhosoda,timetravel love surreal sliceoflif teenagegirl school student schoolgirl teenagerom pud riisanaka takuyaishida mitsutakaitakura mamoruhosoda fantasy animation drama sciencefiction
1964-09-12,A Fistful of Dollars,sergioleone,gangwar victimofmurd greed hostil spaghettiwestern clinteastwood mariannekoch gianmariavolonté sergioleone western
2004-01-15,Mean Creek,jacobaaronestes,suicid alcohol secret birthday lake oregon brother parti love friend prank bulli drug gayman nake invit dare roryculkin scottmechlowicz trevormorgan jacobaaronestes crime drama
2001-10-31,Wasabi,gérardkrawczyk,handcuff hitman lovelett policeoper japanesemafia golfclub brutalcop jeanreno ryokohirosue michelmuller gérardkrawczyk drama action comedy
1976-04-04,All the President's Men,alanj.pakula,usa journalist newspap burglar fbi wiretap watergatescand plan shadow polit newspaperman robertredford dustinhoffman jackwarden alanj.pakula drama history mystery thriller
2005-09-22,Flightplan,robertschwentke,berlin lossoffath airplan baby-snatch jodiefoster petersarsgaard seanbean robertschwentke thriller drama mystery
1971-06-29,Willy Wonka & the Chocolate Factory,melstuart,chocol factorywork basedonnovel candi tvaddictedperson overweightchild grandfathergrandsonrelationship factori music singl teacher genewilder jackalbertson peterostrum melstuart family fantasy
1978-11-02,I Spit on Your Grave,meirzarchi,rape castrat reveng suspens blood gangrap cruelti hang cultfilm rapeandreveng videonasti camillekeaton erontabor richardpace meirzarchi horror thriller
2014-06-14,Earth to Echo,davegreen,alien foundfootag teohalm astro ressehartwig davegreen family adventure sciencefiction
1959-07-07,North by Northwest,alfredhitchcock,assassin spi mountrushmorenationalmemori mistakenident ontherun fugit espionag advertis frame governmentag carygrant evamariesaint jamesmason alfredhitchcock mystery thriller
2001-10-22,K-PAX,iainsoftley,robberi dream hypnosi investig murder alien hospit planet patient medic psychiatrist scienc claim doubt mental help jeffbridges kevinspacey marymccormack iainsoftley drama sciencefiction
2014-05-09,Rage,pacocabezas,kidnap russianmafia reveng hauntedbythepast nicolascage aubreypeeples rachelnichols pacocabezas action crime thriller
2017-06-08,The Hunter's Prayer,jonathanmostow,assassin plannedmurd betray surviv escap teenagegirl drugaddict millionairesdaught samworthington odeyarush amylandecker jonathanmostow action thriller
2008-09-12,Appaloosa,edharris,smalltown rancher viggomortensen edharris renéezellweger edharris drama western crime
2017-01-18,A Bag of Marbles,christianduguay,1940 occupiedfr dorianleclech batystefleurial patrickbruel christianduguay drama
1966-07-13,How to Steal a Million,williamwyler,insurancefraud theft artthief swinging60 forgeri audreyhepburn petero'toole eliwallach williamwyler comedy crime romance
2013-07-18,The Frozen Ground,scottwalker,gun escap serialkil manhunt hunt nicolascage vanessahudgens johncusack scottwalker thriller crime
1982-11-30,Gandhi,richardattenborough,muslim indianlead demonstr worldwarii imprison releasefromprison southafrica braveri hungerstrik coloni morningpray hindu independ britisharmi politicalnegoti confer nonviolentresist apartheid britishempir protest independencemov bombayindia strike freedom prayer worldreligion hinduism mahatmagandhi calcutta benkingsley candicebergen edwardfox richardattenborough drama history
2010-08-13,The Chronicles of Narnia: The Voyage of the Dawn Treader,michaelapted,basedonnovel magic goodvsevil king narnia fantasyworld knifeheldtothroat snow quest skandarkeynes georgiehenley simonpegg michaelapted adventure family fantasy
2007-01-01,Live!,billguttentag,telecast ball tvrate russianroulett televisionproduc performanceartist live evamendes davidkrumholtz robertbrown billguttentag thriller
1987-08-23,Hamburger Hill,johnirvin,vietnamwar gi u.s.airforc u.s.armi loss insan nva lieuten jungl gunfight soldier massacr violenc combat warhero handtohandcombat anthonybarrile michaelboatman doncheadle johnirvin war action drama
1989-07-28,Turner & Hooch,rogerspottiswoode,eatingnonfood petfood tomhanks marewinningham craigt.nelson rogerspottiswoode action comedy thriller crime family
1985-08-09,Summer Rental,carlreiner,rivalri familyvac sufferingpar timeoff rundownhous johncandy karenaustin kerrigreen carlreiner comedy
2015-06-15,Southpaw,antoinefuqua,sport jakegyllenhaal rachelmcadams forestwhitaker antoinefuqua action drama
2005-09-23,Oliver Twist,romanpolanski,londonengland childabus streetgang runaway childlabour children'shom orphanag thief violenc goodandbad child barneyclark benkingsley jamieforeman romanpolanski crime drama family
2012-02-14,This Means War,mcg,lovetriangl friendship date sushibar explodingairplan onlined stabl karateclass dogshelt reesewitherspoon chrispine tomhardy mcg action comedy romance
2015-08-05,Goosebumps,robletterman,basedonnovel magic fantasi werewolf famili ventriloquistdummi bookcomestolif 3d jackblack dylanminnette odeyarush robletterman adventure horror comedy
2008-12-19,The Tale of Despereaux,robertstevenhagen,loyalti totalitarianregim mous forgiv honor unlikelyfriendship courag chivalri animallead matthewbroderick dustinhoffman emmawatson robertstevenhagen adventure animation family
2009-10-16,Where the Wild Things Are,spikejonze,creatur basedonchildren'sbook children'sbook lie overflowingwithimagin children'sperspect maxrecords catherinekeener laurenambrose spikejonze family fantasy
1989-06-22,"Honey, I Shrunk the Kids",joejohnston,inventor ant shrink rieseninsekten bien neighbor rickmoranis marciastrassman mattfrewer joejohnston adventure comedy family sciencefiction
2009-01-30,New in Town,jonaselmer,minnesota smalltown economi plant vegetarian love ruralset labor manufactur middleamerica rube icefish renéezellweger harryconnickjr. j.k.simmons jonaselmer comedy
2014-10-10,The Canal,ivankavanagh,femalenud sex drown cheat nuditi supernatur pregnanc christma rupertevans antoniacampbell-hughes hannahhoekstra ivankavanagh horror mystery thriller
2004-04-20,Starship Troopers 2: Hero of the Federation,philtippett,gener placesandplanet extraterrestrialtechnolog troop u.s.armi alienlife-form billybrown richardburgi kellycarlson philtippett adventure horror action sciencefiction
2013-08-23,Short Term 12,destincretton,childabus suicideattempt socialwork basedonshortfilm pregnanc violenc parol fatherdaughterrelationship incest fosterchild troubledteen fostercar grouphom brielarson johngallagherjr. kaitlyndever destincretton drama
2012-01-19,Underworld: Awakening,månsmårlind,vampir daughter hybrid childvampir werewolf imax labexperi werewolfchild fangvamp katebeckinsale stephenrea michaelealy månsmårlind fantasy action horror
2015-11-05,The Peanuts Movie,stevemartino,basedoncom famili 3d charliebrown snoopi noahschnapp billmelendez venusschultheis stevemartino animation
1992-07-16,Honey I Blew Up the Kid,randalkleiser,becominganadult inventor infant famili rickmoranis marciastrassman robertoliveri randalkleiser adventure comedy family sciencefiction
2015-02-05,The SpongeBob Movie: Sponge Out of Water,paultibbitt,ocean sea star water comedi spong spongebob liveactionandanim tomkenny billfagerbakke rodgerbumpass paultibbitt animation adventure comedy family
2010-10-08,Elite Squad: The Enemy Within,josépadilha,brazilian drugtraff penitentiari polic jail tortur execut drug crimin policecar duringcreditssting wagnermoura irandhirsantos andréramiro josépadilha drama action crime
2008-12-12,Dean Spanley,toafraser,england newzealand independentfilm jeremynortham samneill bryanbrown toafraser comedy drama
2001-04-04,Blow,teddemme,1970 warondrug drugaddict drugtraff drugsmuggl riseandfal johnnydepp penélopecruz ethansuplee teddemme crime drama
1972-10-01,Duel,stevenspielberg,terror california falselyaccus gasstat cliff chase deputi travellingperson panic carcrash salesman stalk monologu cowardli desert truckdriv basedonshortstori roadrag schoolbu abcmovieoftheweek dangerousdriv eighteenwheel lockedbump overh railroadcross dennisweaver jacquelinescott eddiefirestone stevenspielberg tvmovie action thriller
2014-08-14,Hector and the Search for Happiness,peterchelsom,trip travellingperson travel search pursuit happi simonpegg rosamundpike tracy-annoberman peterchelsom adventure drama comedy
2001-07-30,Rat Race,jerryzucker,casino run preisgeld millionair roadmovi cubagoodingjr. sethgreen whoopigoldberg jerryzucker adventure comedy
1992-12-11,A Few Good Men,robreiner,suicid underdog suspicionofmurd courtcas navi law dyinganddeath guantanamobay marinecorp militarycourt coder command militarybas u.s.navi sexism rightandjustic basedonplayormus courtmarti flashback platoonlead militarylaw tomcruise jacknicholson demimoore robreiner drama
1999-02-19,Office Space,mikejudge,suburbia downsiz softwareengin burnout dallastexa beachresort coworkerrelationship lazi duringcreditssting businessrivalri ronlivingston jenniferaniston davidherman mikejudge comedy crime
2013-01-22,Very Good Girls,naomifonergyllenhaal,womandirector dakotafanning elizabetholsen boydholbrook naomifonergyllenhaal drama
1970-05-01,Beneath the Planet of the Apes,tedpost,mutant dystopia survivor astronaut ape scienc worship jamesfranciscus kimhunter mauriceevans tedpost adventure sciencefiction mystery
1953-11-26,Kiss Me Kate,georgesidney,shakespear music broadwayshow kathryngrayson howardkeel annmiller georgesidney music
2016-08-18,Kubo and the Two Strings,travisknight,samurai magic stopmot storytel artparkinson charlizetheron rooneymara travisknight animation adventure family
1979-12-19,Being There,halashby,washingtond.c. usapresid ident policyandorganis autism impot botanist petersellers shirleymaclaine melvyndouglas halashby comedy drama
1984-05-11,The Natural,barrylevinson,basebal talent sport robertredford glennclose kimbasinger barrylevinson drama
2015-11-14,The Good Dinosaur,petersohn,tyrannosaurusrex friend alternatehistori dinosaur fear storm natur human journey raymondochoa jackbright jeffreywright petersohn adventure animation family
1991-01-18,White Fang,randalkleiser,basedonnovel gold treasur coffin humananimalrelationship friendship alaska shootout dog prospector klondik yukon boydogrelationship goldmin klausmariabrandauer ethanhawke seymourcassel randalkleiser action adventure drama family
2014-04-20,Son of Batman,ethanspaulding,dccomic superhero basedoncom robin superpow fathersonreunion jasono'mara stuartallan thomasgibson ethanspaulding animation action adventure
1995-01-30,Rumble in the Bronx,stanleytong,newyork martialart supermarket gangwar disabledchild gang wed diamond bronx duringcreditssting jackiechan anitamui françoiseyip stanleytong crime action comedy thriller
1998-06-19,The X Files,robbowman,bomb helicopt secret obsess extraterrestrialtechnolog fbi spacemarin mutat secretsocieti secretorgan secretlab x-file govern davidduchovny gilliananderson mitchpileggi robbowman mystery sciencefiction thriller
1997-04-04,Chasing Amy,kevinsmith,newjersey comingout loveofone'slif bisexu menageatroi comicbook comic-stripartist independentfilm lesbian bestfriend benaffleck joeylaurenadams jasonlee kevinsmith comedy drama romance
1989-06-09,Star Trek V: The Final Frontier,williamshatner,feder starfleet ussenterprise-a sha-ka-re lossofbroth selfsacrific hostag liberationofhostag romulan klingon vulcan spaceopera williamshatner leonardnimoy deforestkelley williamshatner sciencefiction action adventure thriller
2003-10-23,Brother Bear,aaronblaise,brotherbrotherrelationship grizzlybear inuit transform friendship siblingrivalri unlikelyfriendship aftercreditssting duringcreditssting animallead joaquinphoenix jeremysuarez jasonraize aaronblaise adventure animation family
1971-11-08,Hannie Caulder,burtkennedy,gunsling mexico rape bountyhunt texa bankrobb reveng independentfilm shootout bankrobberi knifethrow cowboy wildwest gunfight femalegunfight rapereveng raquelwelch robertculp ernestborgnine burtkennedy drama western crime
1996-08-14,House Arrest,harrywiner,basement children divorc jamieleecurtis kevinpollak kylehoward harrywiner comedy family
2000-12-09,The Emperor's New Groove,markdindal,centralandsouthamerica birthday emperor palac kingdom berat llama davidspade johngoodman earthakitt markdindal adventure animation comedy family fantasy
1995-12-29,Twelve Monkeys,terrygilliam,schizophrenia philadelphia cassandrasyndrom stockholmsyndrom timetravel post-apocalypt dystopia lethalviru monkey subterranean brucewillis madeleinestowe bradpitt terrygilliam sciencefiction thriller mystery
2014-07-04,Open Windows,nachovigalondo,hightechnolog voyeur elijahwood sashagrey neilmaskell nachovigalondo thriller action crime
1989-08-18,"Sex, Lies, and Videotape",stevensoderbergh,sexualobsess sex sexual camcord spanner orgasm videoband long safesex interview voyeur andiemacdowell petergallagher jamesspader stevensoderbergh drama
2015-05-18,Louder Than Bombs,joachimtrier,usa brotherbrotherrelationship fathersonrelationship caraccid deathofmoth fathersonreunion existenti deathofwif gabrielbyrne isabellehuppert jesseeisenberg joachimtrier drama
1974-06-20,Chinatown,romanpolanski,rape sea river chinatown mistakeinperson pedophilia dyinganddeath barrag losangel privatedetect neo-noir jacknicholson fayedunaway johnhuston romanpolanski crime drama mystery thriller
1973-04-11,Scarecrow,jerryschatzberg,friendship roadtrip genehackman alpacino dorothytristan jerryschatzberg drama thriller
